2021-11-12	9.335	114836
2021-11-11	9.61	267122
2021-11-10	10.02	97466
2021-11-09	10.14	70476
2021-11-08	10.17	51162
2021-11-05	10.43	75350
2021-11-04	10.44	56172
2021-11-03	10.43	39778
2021-11-02	10.31	30030
2021-11-01	10.27	22465
2021-10-29	10.17	31715
2021-10-28	10.53	59363
2021-10-27	10.47	23370
2021-10-26	10.39	53306
2021-10-25	10.42	46579
2021-10-22	10.3	57044
2021-10-21	10.26	61398
2021-10-20	10.25	81636
2021-10-19	10.21	49292
2021-10-18	10.2	42883
2021-10-15	10.59	50401
2021-10-14	10.52	67096
2021-10-13	10.3	72438
2021-10-12	10.6	19962
2021-10-11	10.76	40983
2021-10-08	10.88	22824
2021-10-07	10.7	69763
2021-10-06	10.47	135396
2021-10-05	11.01	45886
2021-10-04	11.16	20254
2021-10-01	11.54	55534
2021-09-30	11.39	51446
2021-09-29	11.74	14600
2021-09-28	11.98	28678
2021-09-27	12.54	38052
2021-09-24	12.09	17728
2021-09-23	12.06	11892
2021-09-22	11.76	16265
2021-09-21	11.62	21037
2021-09-20	11.57	27547
2021-09-17	11.74	385362
2021-09-16	11.87	47843
2021-09-15	12.03	31620
2021-09-14	12.26	22845
2021-09-13	12.55	16798
2021-09-10	12.35	21525
2021-09-09	12.55	26082
2021-09-08	12.4	31236
2021-09-07	12.63	22688
2021-09-06	12.79	23986
2021-09-03	12.94	25601
2021-09-02	12.86	18716
2021-09-01	12.98	43085
2021-08-31	13.11	41260
2021-08-30	12.97	14738
2021-08-27	13.09	25604
2021-08-26	13.09	22275
2021-08-25	12.78	37374
2021-08-24	13.09	43631
2021-08-23	12.85	98161
2021-08-20	12.98	31237
2021-08-19	12.95	60841
2021-08-18	13.1	31743
2021-08-17	12.79	54526
2021-08-16	12.91	85320
2021-08-13	13.21	52350
2021-08-12	13.59	62652
2021-08-11	13.95	150940
2021-08-10	13.03	51152
2021-08-09	13.15	48631
2021-08-06	13.23	33053
2021-08-05	13.14	46455
2021-08-04	13.18	112877
2021-08-03	12.49	20796
2021-08-02	12.48	35708
2021-07-30	12.58	39617
2021-07-29	12.77	34901
2021-07-28	12.85	52740
2021-07-27	12.33	22710
2021-07-26	12.59	46256
2021-07-23	12.63	113732
2021-07-22	12.06	81235
2021-07-21	11.7	70776
2021-07-20	11.22	55561
2021-07-19	11.12	64464
2021-07-16	11.55	30981
2021-07-15	11.35	72809
2021-07-14	11.5	65148
2021-07-13	11.47	121414
2021-07-12	10.83	32099
2021-07-09	10.93	51102
2021-07-08	10.92	81875
2021-07-07	11.04	56313
2021-07-06	11.12	39652
2021-07-05	11.19	28480
2021-07-02	11.37	40774
2021-07-01	11.34	58408
2021-06-30	11	101928
2021-06-29	11	105513
2021-06-28	10.8	83856
