02M "MOSAIC CO/THE"
BMW3 "BAYERISCHE MOTOREN WERKE-PRF"
BNN "BIOTECHNOLOGY RESEARCH & INF"
BNP "BNP PARIBAS"
BNR "BRENNTAG"
BNT1 "EYEMAXX REAL ESTATE"
BOSS "HUGO BOSS AG -ORD"
BOY "BODYCOTE"
BPE "BPER BANCA"
BPE5 "BP"
BRH "BERKSHIRE HATHAWAY INC-CL"
BRM "BERMAS"
BRYN "BRYN RESOURCES"
BSD2 "BANCO SANTANDER"
BSL "BASLER"
BSN "DANONE"
BSP "BAE SYSTEMS"
BST "BERJAYA SPORTS TOTO BHD"
BTBB "SLEEPZ"
BTL "BAYANTALBAI JSC"
BTQ "BT GROUP"
BVB "BURSA DE VALORI BUCURESTI"
BWB "BAADER BANK"
BWQ "ADVANCED BLOCKCHAIN"
BYG "BIG YELLOW GROUP"
BYW "BAYWA"
BYW6 "BAYWA-BAYERISCHE WARENVERMIT"
BZF1 "VMWARE INC-CLASS"
C1V "MVISE"
C6O "CLOVIS ONCOLOGY"
C9F "CHIPOTLE MEXICAN GRILL"
CAP "CAPGEMINI"
CAR "CARREFOUR"
CAT1 "CATERPILLAR"
CBHD "COLOPLAST-B"
CBK "COMMERZBANK"
CC1 "Generic 1st 'CC' Future"
CCAP "Corestate Capital"
CCC3 "COCA-COLA CO/THE"
CDM1 "COEUR MINING"
CDS "CADENCE DESIGN SYS"
CE2 "CROPENERGIES"
CEA "FRIWO"
CEC "Ceconomy"
CEC1 "CECONOMY AG-VORZ"
CEK "CEOTRONICS"
CEV "CEVASA-CIA ESPANOL DE VIV"
CFC "CAFICO VIETNAM JSC"
CGN "COGNITION HOLDINGS"
CH1A "C.H. ROBINSON WORLDWIDE"
CHV "CHEVRON CORP"
CIE1 "CIENA CORP"
CIS "CISCO SYSTEMS"
CIT "CITY DEVELOPMENTS"
CLIQ "CLIQ DIGITAL"
CMC "CORP EMPRESARIAL DE MATERIAL"
CNWK "CO.DON"
CO3A "COTY INC-CL"
COK "CANCOM"
COM "CNIM GROUP"
CON "CONTINENTAL"
COP "COMPUGROUP MEDICAL SE & CO"
CORE "COREO"
COZ "COGNIZANT TECH SOLUTIONS-A"
CPA "CIA PORTUGUESA DE AMIDOS"
CPX "CAPITAL POWER CORP"
CQD "CHARTER COMMUNICATIONS"
CR6 "CREE"
CRIN "UNICREDIT SPA"
CRZK "CR CAPITAL REAL ESTATE"
CS1 "AMUNDI ETF MSCI SPAIN UCITS"
CSC "CROWN SEAL PUBLIC CO"
CSH "CENIT"
CSQ "CANAMEX GOLD CORP"
CTO "TCLARKE"
CTP2 "COMCAST CORP-CLASS"
CTX "CITRIX SYSTEMS"
CVA "COVANTA HOLDING CORP"
CVS "CVS HEALTH CORP"
CWC "CEWE STIFTUNG & CO KGAA"
CXU "CHURCH & DWIGHT"
CYR "CYAN AG-NEW"
CYT "CENTURYLINK"
D6H "DATAGROUP"
DAI "DAIMLER AG-REGISTERED SHARES"
DAM "DATA MODUL"
DAP "DANAHER CORP"
DAR "DARLING INGREDIENTS"
DB1 "DEUTSCHE BOERSE"
DBAN "DEUTSCHE BETEILIGUNGS"
DBD "DIEBOLD NIXDORF"
DBK "DEUTSCHE BANK"
DC6 "DISCOVERY INC"
DC6C "DISCOVERY INC-C"
DC7 "DISCOVER FINANCIAL SERVICES"
DCO "DUCOMMUN"
DEF "DEFIANCE SILVER CORP"
DEQ "DEUTSCHE EUROSHOP"
DEX "DELAWARE ENHANCED GLOBAL DIV"
DEZ "DEUTZ"
DFTK "DF DEUTSCHE FORFAIT"
DFV "DFV DEUTSCHE FAMILIENVERSICH"
DGR "DGR GLOBAL"
DHER "DELIVERY HERO"
DIC "DUBAI INVESTMENTS PJSC"
DIE "DIERIG HOLDING"
DIS "DVS TECHNOLOGY"
DKB "DAI-ICHI KANGYO BANK"
DLG "DIALOG SEMICONDUCTOR"
DLX "DELUXE CORP"
DMP "DOMINO'S PIZZA ENTERPRISES"
DMRE "DEMIRE DT MTS REAL ESTATE"
DP4B "AP MOLLER-MAERSK A/S-B"
DPW "DEUTSCHE POST AG-REG"
DPWA "DEUTSCHE POST AG-SPON"
DQW1 "AMS"
DR0 "DEUTSCHE ROHSTOFF"
DRI "DARDEN RESTAURANTS"
DRJ "DE RAJ GROUP"
DRW3 "DRAEGERWERK AG - PREF"
DRW8 "DRAEGERWERK"
DT3 "DOLLAR TREE"
DTD2 "B+S BANKSYSTEME"
DTE "Deutsche Telekom"
DTEA "DEUTSCHE TELEKOM AG-SPON"
DUE "DUERR"
DUL "ALNYLAM PHARMACEUTICALS"
DWD "MORGAN STANLEY"
DWNI "DEUTSCHE WOHNEN"
DWS "DWS"
DY2 "DENTSPLY SIRONA"
DYH "TARGET CORP"
E2F "EDF"
E3X1 "EXPEDIA GROUP"
E4C "ECOTEL COMMUNICATION"
E8X "ELEXXION"
EBA "EBAY"
EBK "ENBW ENERGIE BADEN-WUERTTEMB"
EBO "ERSTE GROUP BANK"
ECF "ELLSWORTH GROWTH AND INCOME"
ECK "LUDWIG BECK AM RATHAUSECK"
ECX "EPIGENOMICS"
ED4 "Generic 4th 'ED' Future"
EDL "EDEL SE & CO KGAA"
EFF "DEUTSCHE EFFECTEN- UND WECHS"
EIN3 "EINHELL GERMANY AG-VORZUG"
EJT1 "EASYJET"
EKT "ENERGIEKONTOR"
ELB "ELEKTROBUDOWA"
ELG "ELMOS SEMICONDUCTOR"
EMH "E MEDIA HOLDINGS"
ENI "ENI SPA"
ENL "ENEL SPA"
EOAA "E.ON SE -SPONSORED"
EOAN "E.ON"
EOT "EATON VANCE NATIONAL MUNICIP"
EQS "EQUUS TOTAL RETURN"
ERCA "ERICSSON (LM) TEL-SP"
ERCB "ERICSSON LM-B SHS"
ERCG "ERICSSON LM-A SHS"
ERO1 "TMC CONTENT GROUP"
ERT "ELECTRONIC ARTS"
ERWE "ERWE IMMOBILIEN"
ESY "EASY SOFTWARE"
ETG "EATON VANCE T/A GL DVD INCM"
ETY "ENTERGY CORP"
EUZ "ECKERT & ZIEGLER STRAHLEN UN"
EVD "CTS EVENTIM AG & CO KGAA"
EVK "EVER-GLORY INTERNATIONAL GRO"
EVT "EVENT HOSPITALITY AND ENTERT"
EVTA "EVOTEC AG - SPON"
EW1 "EXPEDITORS INTL WASH"
EX9 "EXELIXIS"
EXC "EXELON CORP"
EXJ "READCREST CAPITAL"
F03 "Generic 3rd 'F0' Future"
F2P "GLU MOBILE"
F3A "FIRST SOLAR"
F3C "SFC ENERGY AG-BR"
FAA "FABASOFT"
FAS "FIDELITY ASIAN VALUES"
FB2A "FACEBOOK INC-CLASS"
FBEN "FYBER N.V"
FC9 "FCR IMMOBILIEN"
FDO "MACY'S"
FDX "FEDEX CORP"
FEV "FORTEC ELEKTRONIK"
FF24 "Generic 24th 'FF'Future"
FFV "F5 NETWORKS"
FHL "FIJIAN HOLDINGS LIMITED-A"
FIE "FIELMANN"
FIV "FISERV"
FMC1 "FORD MOTOR"
FME "FRESENIUS MEDICAL CARE"
FMEN "FRESENIUS MEDICAL CARE"
FMV "FIRST MAJESTIC SILVER CORP"
FNTN "FREENET"
FOO "SALESFORCE.COM"
FOT "FORTUM OYJ"
FPE "FUCHS PETROLUB"
FPE3 "FUCHS PETROLUB SE-PREF"
FPH "FIRST PHILIPPINE HLDGS"
FPMB "FREEPORT-MCMORAN"
FQT "FREQUENTIS"
FRA "FRAPORT AG FRANKFURT AIRPORT"
FRE "FRESENIUS SE & CO KGAA"
FRS "FORIS"
FRU "FREEHOLD ROYALTIES"
FTE "ORANGE"
FTE1 "ORANGE-SPON"
FTK "FLOTEK INDUSTRIES"
FYB "FORMYCON"
G02 "Generic 2nd 'G0' Future"
G1A "GEA GROUP"
G24 "SCOUT24"
G6P "GOING PUBLIC MEDIA"
GAZ "AFRIQUIA GAZ"
GBF "BILFINGER"
GBY "GRAND BANKS YACHTS"
GDX "GOLDEX RESOURCES CORP"
GEC "General Electric"
GFG "GFG RESOURCES"
GFT "GFT TECHNOLOGIES"
GGS "GIGASET"
GIH "GULF INVESTMENT HOUSE KSC"
GIL "DMG MORI"
GIS "Gilead Sciences"
GKS "GK SOFTWARE"
GLJ "GRENKE"
GLW "CORNING"
GME "GME RESOURCES"
GMM "GMM PFAUDLER"
GOB "GLOBAL ORIENTAL BHD"
GOS "GOLDMAN SACHS GROUP"
GRM "GENERAL MILLS"
GS7 "GLAXOSMITHKLINE"
GSC1 "GESCO"
GSJ "GRUPO EMPRESARIAL SAN JOSE"
GTK "TONKENS AGRAR"
GTQ1 "SIEMENS GAMESA RENEWABLE ENE"
GTR "GUJARAT TOOLROOM"
GTY "GETTY REALTY CORP"
GUI "DIAGEO"
GWD "COVIVIO OFFICE"
GXI "GERRESHEIMER"
GXP1 "GXP GERMAN PROPERTIES"
GYC "GRAND CITY PROPERTIES"
GZF "ENGIE"
H24 "Generic 4th 'H2' Future"
H5E "HELMA EIGENHEIMBAU"
H9W "HWA"
H9Y "HANSEYACHTS"
HAE "HAEMONETICS CORP/MASS"
HAL "HAL TRUST"
HAR "HARMONY GOLD MINING CO"
HAW "HAWESKO HOLDING"
HBC1 "HSBC HOLDINGS"
HBH "HORNBACH HOLDING AG & CO KGA"
HBM "HORNBACH BAUMARKT"
HCL "HECLA MINING"
HDD "HARDIDE"
HDI "HARLEY-DAVIDSON INC-CEDEAR"
HEI "HEIDELBERGCEMENT"
HEN "HENKEL AG & CO KGAA"
HEN3 "HENKEL AG & CO KGAA VORZUG"
HFF "HARTFORD FINANCIAL SVCS GRP"
HFG "HILTON FOOD GROUP"
HG1 "HOMAG GROUP"
HHFA "HAMBURGER HAFEN UND LOGISTIK"
HHH "HSBC S&P 500 UCITS ETF"
HLAG "HAPAG-LLOYD"
HLE "HELLA GMBH & CO KGAA"
HLG "HONG LEONG CAPITAL BHD"
HMI "HERMES INTERNATIONAL"
HMSB "HENNES & MAURITZ AB-B SHS"
HMU "HMS BERGBAU"
HN9 "HANESBRANDS"
HNK1 "HEINEKEN"
HNL "DR HOENLE"
HNM "ORMAT TECHNOLOGIES"
HNR1 "HANNOVER RUECK"
HO1 "HOLOGIC"
HO7 "HORMEL FOODS CORP"
HOC "HUNTER TECHNOLOGY CORP"
HOT "HOCHTIEF"
HP3 "RINGMETALL"
HPBK "HELIAD EQUITY PARTNERS GMBH"
HRPK "7C SOLARPARKEN"
HRS "L3HARRIS TECHNOLOGIES"
HS2 "HENRY SCHEIN"
HXCK "ERNST RUSS"
HYQ "HYPOPORT"
I7N "ITN NANOVATION"
I8R "IROBOT CORP"
IBE1 "IBERDROLA"
IBM "INTL BUSINESS MACHINES CORP"
IBU "TORGON UR JSC"
IC2 "Generic 2nd 'IC' Future"
IC8 "INCITY IMMOBILIEN"
ICP "ICP"
IDP "BIOGEN"
IES "INTESA SANPAOLO"
IF0 "INFLARX"
IFA "IFA HOTEL & TOURISTIK"
IFX "IMAFLEX"
ILM1 "MEDIOS"
ILU "ILUKA RESOURCES"
IMO1 "IMMOFINANZ"
IMU "IMUGENE"
INH "INDUS HOLDING"
INL "Intel"
INN1 "ING GROEP"
INNA "ING GROEP N.V.-SPONSORED"
INP "INTL PAPER"
INR "INDITALIA REFCON"
INS "INSAS BHD"
INW1 "GBS SOFTWARE"
IPOK "HEIDELBERGER BETEILIGUNDSHOL"
IQL "IQ INTERNATIONAL"
IS7 "INTICA SYSTEMS"
IS8 "IFA SYSTEMS"
ISHA "INTERSHOP COMMUNICATIONS"
ISR "ISRA VISION"
ISR1 "Generic 1st 'ISR' Future"
ITB "IMPERIAL BRANDS"
ITN "INTERTAINMENT"
ITU "INTUIT"
IUR "KAP"
IVU "IVU TRAFFIC TECHNOLOGIES"
IVX "INVENTRONICS"
IXD1 "INDUSTRIA DE DISENO TEXTIL"
IXX "TRAFFIC SYSTEMS"
JEN "JENOPTIK"
JM2 "JM SMUCKER CO/THE"
JNJ "JOHNSON & JOHNSON"
JNP "JUNIPER NETWORKS"
JST "JIMS JSC"
JUN3 "JUNGHEINRICH - PRFD"
K1R "KROMI LOGISTIK"
KA8 "KLASSIK RADIO"
KBX "KNORR-BREMSE"
KC4 "KONE OYJ-B"
KCO "KLOECKNER &"
KEL "K-ELECTRIC"
KFI1 "KINGFISHER"
KGX "KION GROUP"
KHNZ "KRAFT HEINZ CO/THE"
KIN2 "KINROSS GOLD CORP"
KLA "KLA CORP"
KMY "KIMBERLY-CLARK CORP"
KPN "KONINKLIJKE KPN"
KRN "KRONES"
KSB "KSB SE & CO KGAA"
KSB3 "KSB SE & CO KGAA-VORZUG"
KSC "K & S CORP"
KTF "DWS MUNICIPAL INCOME TRUST"
KU2 "KUKA"
KWG "KHD HUMBOLDT WEDAG INTERNATI"
KWS "KWS SAAT SE & CO KGAA"
L1OA "LLOYD FONDS"
LAR "LAM RESEARCH CORP"
LCR "LAS VEGAS SANDS CORP"
LEG "LEGEND MINING"
LEI "LEIFHEIT"
LEN "LENZING"
LEO "LEONI"
LHA "DEUTSCHE LUFTHANSA-REG"
LIN "Linde"
LLD "LLOYDS BANKING GROUP"
LLY "ELI LILLY &"
LMI "LION E-MOBILITY"
LNSX "SIXT LEASING"
LO24 "LOTTO24"
LOM "LOM FINANCIAL"
LOR "L'OREAL"
LOUD "DEAG DEUTSCHE ENTERTAINMENT"
LPK "LPKF LASER & ELECTRONICS"
LSX "LS TELCOM"
LTD "L BRANDS"
LU2 "Generic 2nd 'LU' Future"
LUK "LUKOIL PJSC-SPON"
LUS "LANG & SCHWARZ"
LV2B "LEVI STRAUSS & CO- CLASS"
LXS "LANXESS"
LY0 "LYFT INC-A"
M0Y "MYNARIC"
M12 "Generic 2nd 'M1' Future"
M3BK "MIC"
M3V "MEVIS MEDICAL SOLUTIONS"
M4I "MASTERCARD INC"
M4N "MUEHLHAN"
M5Z "MANZ"
M7U "NYNOMIC"
M8G "MEDIA AND GAMES INVEST"
M8H "MBH CORP"
MA1 "Generic 1st 'MA' Future"
MAK "MATERNUS-KLINIKEN"
MAN "MAN"
MAN3 "MAN SE-VORZUGSAKTIEN"
MBB "MBB"
MBC "MANILA BROADCASTING"
MBK "MERKUR PRIVATBANK KGAA"
MBQ "MOBOTIX"
MCD "MCDONALD'S CORP"
MCE "MEDIQON GROUP"
MCP "MCPHERSON'S"
MDG1 "MEDIGENE"
MDN "MEDION"
MDO "MANDARIN ORIENTAL -SING REG"
MED "MEDICLIN"
MF6 "MAGFORCE AG-BEAR"
MGG "MINAURUM GOLD"
MGNK "MOLOGEN"
MLB1 "MERCADOLIBRE"
MLL "MUELLER-DIE LILA LOGISTIK"
MLP "MAUI LAND & PINEAPPLE"
MMM "MINCO CAPITAL CORP"
MOH "LVMH MOET HENNESSY LOUIS VUI"
MOR "MAURITIUS OIL REFINERIES"
MPCK "MPC CAPITAL"
MRK "MERCK & CO. INC."
MSAG "MS INDUSTRIE"
MSF "MICROSOFT CORP"
MSN "EMERSON RADIO CORP"
MTE "MONTANARO EUROPEAN SMALLER C"
MTLA "MOTOROLA SOLUTIONS"
MTT "MAGNA TERRA MINERALS"
MTX "MTU Aero Engines"
MUB "MUEHLBAUER HOLDING"
MUM "MENSCH UND MASCHINE SOFTWARE"
MUV2 "MUENCHENER RUECKVER"
MUX "MCEWEN MINING"
MVV1 "MVV ENERGIE"
MWB "MWB FAIRTRADE WERTPAPIERHAND"
MXHN "M.A.X. AUTOMATION"
MXI "MAXITRANS INDUSTRIES"
MYD "BLACKROCK MUNIYIELD FUND"
MYRK "MYHAMMER HOLDING"
MZX "MASTERFLEX"
N2F "NANOFOCUS"
N4G "NAGA GROUP AG/THE"
N7G "NANOGATE"
NB2 "Generic 2nd 'NB' Future"
NBG6 "NUERNBERGER BETEILIG-AKT 'B'"
NC5A "NORCOM INFORMATION TECHNOLOG"
NCB "BANK OF AMERICA CORP"
NDA "AURUBIS"
NDX1 "NORDEX"
NEF "NESTE OYJ"
NEM "NEWMONT CORP"
NESM "NESTLE SA-SPONS"
NFC "NEXT FIFTEEN COMMUNICATIONS"
NFN "NFON"
NFS "NORFOLK SOUTHERN CORP"
NGLB "ANGLO AMERICAN"
NGLD "NEVADA CANYON GOLD CORP"
NIIN "NIIIO FINANCE GROUP"
NKE "NIKE INC -CL B"
NMM "NEWMONT CORP"
NN6 "NANOREPRO"
NNGF "NATIONAL GRID"
NOA3 "NOKIA OYJ"
NOAA "NOKIA CORP-SPON"
NOEJ "NORMA GROUP"
NOVA "NOVO-NORDISK A/S-SPONS"
NOVC "NOVATION COMPANIES"
NP5 "NEWRON PHARMACEUTICALS SPA"
NRA "NRG ENERGY"
NSU "AUDI"
NTA "NETAPP"
NTG "TORTOISE MIDSTREAM ENERGY"
NTH "NORTHROP GRUMMAN CORP"
NUVA "NUVASIVE"
NVD "NVIDIA CORP"
NVJP "UMICORE"
NWO "NUWAY ORGANIC NATURALS INDIA"
NWT "NEW WAVE HOLDINGS"
NXU "NEXUS"
O2C "PETRO WELT TECHNOLOGIES"
O2D "TELEFONICA DEUTSCHLAND HOLDI"
O3P "OESTERREICHISCHE POST"
O4B "OVB HOLDING"
O5G "CPI PROPERTY GROUP"
O5H "OPENLIMIT HOLDING"
O5Q "OWENS CORNING"
OBS "OBERBANK"
ODP "ODP CORP/THE"
OEWA "VERBUND"
OHB "OHRIDSKA BANKA AD SKOPJE"
OMV "OMV"
OPC "OCCIDENTAL PETROLEUM CORP"
ORC "ORACLE CORP"
OSP2 "USU SOFTWARE"
OSR "OSRAM LICHT"
OSRD "OSRAM LICHT"
P4O "PLAN OPTIK"
PA8 "PAION"
PA9 "TRAVELERS COS INC/THE"
PAE "PAE"
PAH3 "PORSCHE AUTOMOBIL HLDG-PRF"
PAL "PAL HOLDINGS"
PAT "PATRIZIA"
PB9 "Generic 9th 'PB' Future"
PBB "DEUTSCHE PFANDBRIEFBANK"
PBY "WHEAT SPOT PESOS IMMED"
PCE1 "BOOKING HOLDINGS"
PCX "PAYCHEX"
PCZ "PROCREDIT HOLDING AG & CO KG"
PDA "PRO DV"
PEO "PEOPLE CORP"
PEP "PPB GROUP BERHAD"
PER "PERNOD RICARD"
PES "PEARSON"
PEU "PEUGEOT"
PFE "PFIZER"
PFV "PFEIFFER VACUUM TECHNOLOGY"
PGN "PARAGON GMBH & CO KGAA"
PHI1 "KONINKLIJKE PHILIPS"
PHIA "KONINKLIJKE PHILIPS NVR- NY"
PHM7 "ALTRIA GROUP"
PLUN "PLUG POWER"
PMAG "PIERER MOBILITY"
PMTA "PTC"
PNE3 "PNE"
POH1 "CARNIVAL"
PPX "KERING"
PRG "PATUM RICE MILL &GRANARY PCL"
PRU "PRUDENTIAL"
PSAN "PSI SOFTWARE"
PSM "Pro Sieben"
PUM "PUMA"
PWO "PROGRESS-WERK OBERKIRCH"
PZS "SCHERZER & CO"
QB7 "QUIRIN PRIVATBANK"
QCI "QUALCOMM"
QIA "QIAGEN N.V."
QSC "QSC"
R66 "Generic 6th 'R6' Future"
R6C "ROYAL DUTCH SHELL PLC-A SHS"
R6C3 "ROYAL DUTCH SHELL PLC-B SHS"
RAA "RATIONAL"
RAW "RAIFFEISEN BANK INTERNATIONA"
RCMN "RCM BETEILIGUNGS"
RDEB "RELX"
RDO "SIRIUS XM HOLDINGS"
REP "REPSOL"
RHK "RHOEN-KLINIKUM"
RHM "RHEINMETALL"
RIB "REDTONE INTERNATIONAL BHD"
RIO1 "RIO TINTO"
RKET "ROCKET INTERNET"
RMB "RAMBUS"
RNL "RENAULT"
RNL1 "RENAULT SA-UNSP"
RNY "RNY PROPERTY TRUST"
ROI "ROUTE1"
RPL "UPM-KYMMENE OYJ"
RRTL "RTL GROUP"
RSL2 "R STAHL"
RSO "ROSS STORES"
RTC "REALTECH"
RTN1 "RUBBER FUT (SHFE) Jul21"
RWE "RWE"
RWEA "RWE AKTIENGESELLSCHAF-SP"
RWL "ROCKWELL AUTOMATION"
RY4C "RYANAIR HOLDINGS"
RY8 "Generic 8th 'RY' Future"
RYS1 "NATWEST GROUP"
S4A "SMT SCHARF"
S92 "SMA SOLAR TECHNOLOGY"
S9I "STEMMER IMAGING"
SAE "SABLE RESOURCES"
SANT "S&T"
SAP "SAP SE-SPONSORED"
SAV "SAVIMEX CORP"
SAX "STROEER SE & CO KGAA"
SBNC "SOUTHERN BANCSHARES INC/N C"
SBS "CIA SANEAMENTO BASICO DE-ADR"
SC2 "NUANCE COMMUNICATIONS"
SCE "SECOND CHANCE PROPERTIES"
SCT "SUPERCOMNET TECHNOLOGIES BHD"
SD1 "SONG DA 1 JSC"
SDF "K+S AG-REG"
SDF1 "K+S AG-SPONSORED"
SF3 "Generic 3rd 'SF' Future"
SFD1 "SOFTLINE"
SFE "SAFEGUARD SCIENTIFICS"
SFQ "SAF-HOLLAND"
SGE "STRATEGEM CAPITAL CORP-A"
SGL "SGL CARBON"
SGM "SIGMA CAPITAL GROUP"
SHA "SON HA SAI GON JSC"
SHF "SNP SCHNEIDER-NEUREITHER & P"
SHL "SIN HENG CHAN (MALAYA) BHD"
SHWK "SHS VIVEON"
SIE "SIEMENS AG-REG"
SII "SOCIETE POUR L'INFORMATIQUE"
SIS "SAVARIA CORP"
SIX2 "SIXT"
SIX3 "SIXT SE - PRFD"
SJJ "SERVICEWARE"
SKB "KOENIG & BAUER"
SLL "STANDARD LITHIUM"
SLT "SCHALTBAU HOLDING"
SMHN "SUESS MICROTEC"
SMWN "SM WIRTSCHAFTSBERATUNG"
SND "SCHNEIDER ELECTRIC"
SNF "JAIPAN INDUSTRIES"
SNG "SONAGI"
SNH "SHANKH JSC"
SNW "SANOFI"
SOBA "AT&T"
SOT "SOUTHERN CO/THE"
SOW "SOFTWARE"
SPM "SAIPEM SPA"
SPR "AXEL SPRINGER"
SQU "VINCI"
SRB "SAPURA RESOURCES BHD"
SRT "SARTORIUS"
SRT3 "SARTORIUS AG-VORZUG"
ST5 "STEICO"
