02M "MOSAIC CO/THE"
0HV "ENVISTA HOLDINGS CORP"
0Q3 "BEYOND MEAT"
0YU "YUM CHINA HOLDINGS"
12DA "DELL TECHNOLOGIES"
185 "ZENSUN ENTERPRISES"
1COV "COVESTRO"
1FC "FACC"
1N8 "ADYEN"
1NBA "ANHEUSER-BUSCH INBEV SA/NV"
1SI "SNAP INC"
1T2 "VST BUILDING TECHNOLOGIES"
1TY "PROSUS"
1WR "WESTROCK"
1YD "BROADCOM"
2CU "CHEMOURS CO/THE"
2EM "ERGOMED"
2FB "FORTUNE BRANDS HOME & SECURI"
2FE "FERRARI"
2FI "FIAT CHRYSLER AUTOMOBILES"
2GB "2G ENERGY"
2HP "HEWLETT PACKARD ENTERPRISE"
2HQ "TILRAY INC-CLASS 2 COMMON"
2HRA "H&R GMBH & CO KGAA"
2KD "KINDER MORGAN"
2M6 "MEDTRONIC"
2OY "DOW"
2PP "PAYPAL HOLDINGS"
2QO "QORVO"
2S7 "Generic 7th '2S' Future"
2X0 "CORTEVA"
2XT "DXC TECHNOLOGY"
30L3 "SOLUTIONS 30"
3LN "LIVE NATION ENTERTAINMENT IN"
3RB "RECKITT BENCKISER GROUP"
3V64 "VISA INC-CLASS A SHARES"
4AB "ABBVIE"
4BSB "4BASEBIO"
4DS "DALDRUP & SOEHNE"
4I1 "PHILIP MORRIS INTERNATIONAL"
4JMA "JUMIA TECHNOLOGIES AG-ADR"
5EA "ELANCO ANIMAL HEALTH"
5FB "FITBIT INC"
5G5 "GOPRO INC-CLASS"
639 "SHOUGANG FUSHAN RESOURCES GR"
68V "BAKER HUGHES"
690D "HAIER SMART HOME CO LTD-D"
6D81 "DUPONT DE NEMOURS"
6LA "LAMAR ADVERTISING CO-A"
6MK "MERCK & CO. INC."
7HP "HP"
8GM "GENERAL MOTORS"
8S0 "SLACK TECHNOLOGIES INC"
8TRA "TRATON"
93M "MPH HEALTH CARE AG KONV"
A1G "AMERICAN AIRLINES GROUP"
A1OS "ALL FOR ONE GROUP"
A4S "AMERIPRISE FINANCIAL"
A4Y "'IR' 4 YR SPOT STRIP"
A6T "ARTEC TECHNOLOGIES"
A7A "FINLAB"
A8A "JDC GROUP"
AAD "AMADEUS FIRE"
AAG "HGH HOLDINGS"
AAQ "AAP IMPLANTATE"
ABEA "ALPHABET INC-CL"
ABEC "ANALYTICA BIO-ENERGY CORP"
ABL "ABILENE OIL AND GAS"
ABR "ABR HOLDINGS"
ABS2 "PORR"
ACT "ALZCHEM GROUP"
ACWN "AS CREATION TAPETEN"
ACX "ACERINOX"
ADB "ADOBE"
ADD "ADAVALE RESOURCES"
ADE "ADANI ENTERPRISES"
ADJ "ADLER GROUP"
ADL "ADLER REAL ESTATE"
ADM "ARCHER-DANIELS-MIDLAND"
ADN1 "ADESSO"
ADS "Adidas"
ADV "ARDIDEN"
AEC1 "AMERICAN EXPRESS"
AEIN "ARAB ELECTRICAL INDUSTRIES"
AEND "AEGON"
AENF "AEGON N.V.-NY REG SHR"
AEP "AMERICAN ELECTRIC POWER"
AES "AES CORP"
AFX "AFRICAN OXYGEN"
AGJ "AGCO CORP"
AHC "AIKCHOL HOSPITAL PUBLIC"
AHLA "ALIBABA GROUP HOLDING-SP"
AHOG "KONINKLIJKE AHOLD DELHAIZE"
AIL "AIR LIQUIDE"
AINN "AMERICAN INTERNATIONAL GROUP"
AIR "Airbus"
AIXA "AIXTRON"
AIY "AUTHORISED INVESTMENT FUND"
AJ91 "DOCCHECK"
AK3 "AKAMAI TECHNOLOGIES"
AKX "ANSYS"
ALD "AMPOL"
ALG "ALBIS LEASING"
ALS "ALLSTATE CORP"
ALU2 "S.C ALUMIL ROM INDUSTRY"
ALV "ALLIANZ SE-REG"
AM3D "SLM SOLUTIONS GROUP"
AMD "ADVANCED MICRO DEVICES"
AMG "AFFILIATED MANAGERS GROUP"
AMMN "GROUNDS REAL ESTATE DEV/THE"
AMZ "AMAZON.COM"
ANL "AZGARD NINE"
AOF "ATOSS SOFTWARE"
AOMD "ALSTOM"
AP2 "APPLIED MATERIALS"
APC "APC GROUP"
APM "APM INDUSTRIES"
AR4 "Generic 4th 'AR' Future"
ARL "ASTRAL FOODS"
ARRD "ARCELORMITTAL"
ARRJ "ARCELORMITTAL-NY REGISTERED"
ART "ASCOTT RESIDENCE TRUST"
ASG "ASSICURAZIONI GENERALI"
ASL "ABERFORTH SMALLER COS-ORD"
ASME "ASML HOLDING"
ASMF "ASML HOLDING NV-NY REG SHS"
AT1 "Generic 1st 'AT' Future"
AU2 "AGRARIUS"
AUD "AUTODESK"
AUS "AUSTRIA TECHNOLOGIE & SYSTEM"
AVES "V/O AVIAEXPORT-BRD"
AWC "ALUMINA"
AWM "SKYWORKS SOLUTIONS"
AXA "AXA"
AXJ "EQUITABLE HOLDINGS"
AXP "AXEL POLYMERS"
AZ2 "ANDRITZ"
B4B "METRO"
B4B3 "METRO AG-PREF"
B5A "BAUER"
B7E "BLUE CAP"
B7J "SRV GROUP OYJ"
B8A "BAVARIA INDUSTRIES GROUP"
B8F "BIOFRONTERA"
BAC "BANK OF AMERICA CORP"
BAS "BASF"
BASA "BASANITE"
BAYA "BAYER AG-SPONSORED"
BAYN "BAYER AG-REG"
BBDB "BOMBARDIER INC-B"
BBVA "BANCO BILBAO VIZCAYA-SP"
BBY "BEST BUY"
BC8 "BECHTLE"
BCO "BICO"
BCY "BARCLAYS"
BDT "BERTRANDT"
BEI "BEIERSDORF"
BEZ "BERENTZEN-GRUPPE"
BFSA "BEFESA"
BIJ "BIJOU BRIGITTE MODI ACCESS"
BIL "BHP GROUP"
BIO "BIOTEST"
BIO3 "BIOTEST AG-VORZUGSAKTIEN"
BIRG "BANK OF IRELAND GROUP"
BLQA "BLACKROCK"
BMT "BRAIME (TF & JH)-A NON VOTG"
BMW "BAYERISCHE MOTOREN WERKE"
