46.535	2020-12-29
46.555	2020-12-28
46.95	2020-12-23
47.195	2020-12-22
47.42	2020-12-21
48.08	2020-12-18
48.105	2020-12-17
48.515	2020-12-16
48.83	2020-12-15
49.43	2020-12-14
49.865	2020-12-11
49.96	2020-12-10
50.45	2020-12-09
50.43	2020-12-08
50.2	2020-12-07
50.5	2020-12-04
50.18	2020-12-03
50.76	2020-12-02
51.21	2020-12-01
50	2020-11-30
49.9	2020-11-27
50.3	2020-11-26
50.11	2020-11-25
51.01	2020-11-24
50.37	2020-11-23
50.52	2020-11-20
51.04	2020-11-19
51.29	2020-11-18
51.08	2020-11-17
51.6	2020-11-16
51.37	2020-11-13
50.32	2020-11-12
51	2020-11-11
51.25	2020-11-10
50.57	2020-11-09
49.73	2020-11-06
50.64	2020-11-05
51.86	2020-11-04
50.44	2020-11-03
50.44	2020-11-02
49.56	2020-10-30
49.565	2020-10-29
49.9	2020-10-28
50.45	2020-10-27
50.38	2020-10-26
52.08	2020-10-23
50.52	2020-10-22
50.65	2020-10-21
50.64	2020-10-20
51.66	2020-10-19
53.22	2020-10-16
53.68	2020-10-15
54.67	2020-10-14
54.79	2020-10-13
54.47	2020-10-12
54.38	2020-10-09
53.86	2020-10-08
53.5	2020-10-07
53.58	2020-10-06
54.31	2020-10-05
53.65	2020-10-02
53.59	2020-10-01
53.55	2020-09-30
53.18	2020-09-29
53.73	2020-09-28
53.39	2020-09-25
53.32	2020-09-24
54.61	2020-09-23
54.19	2020-09-22
54.16	2020-09-21
54.4	2020-09-18
55.37	2020-09-17
55.98	2020-09-16
56.28	2020-09-15
56.39	2020-09-14
55.12	2020-09-11
54.08	2020-09-10
54.31	2020-09-08
55.4	2020-09-07
56.18	2020-09-04
56.23	2020-09-03
56.4	2020-09-02
54.46	2020-09-01
55.05	2020-08-31
54.76	2020-08-28
55.42	2020-08-27
55.28	2020-08-26
55.64	2020-08-25
55.75	2020-08-24
55.78	2020-08-21
55.57	2020-08-20
55.73	2020-08-19
58.16	2020-08-18
57.84	2020-08-17
57.85	2020-08-14
57.58	2020-08-13
58.29	2020-08-12
58.32	2020-08-11
58.05	2020-08-10
58.59	2020-08-07
