58.56	2020-12-29
58.3	2020-12-28
58.45	2020-12-23
57.34	2020-12-22
56.65	2020-12-21
58.08	2020-12-18
58.75	2020-12-17
57.55	2020-12-16
57.9	2020-12-15
57.57	2020-12-14
57.2	2020-12-11
58.36	2020-12-10
58.28	2020-12-09
57.97	2020-12-08
57.9	2020-12-07
58.05	2020-12-04
56.85	2020-12-03
56.09	2020-12-02
56.3	2020-12-01
56	2020-11-30
57.25	2020-11-27
56.91	2020-11-26
57.02	2020-11-25
57.74	2020-11-24
55.52	2020-11-23
54.88	2020-11-20
55.24	2020-11-19
56.21	2020-11-18
56.56	2020-11-17
57.27	2020-11-16
55.58	2020-11-13
56.12	2020-11-12
56.7	2020-11-11
57.24	2020-11-10
53.08	2020-11-09
47.725	2020-11-06
47.535	2020-11-05
46.73	2020-11-04
46.485	2020-11-03
44.95	2020-11-02
44.58	2020-10-30
45.41	2020-10-29
45.28	2020-10-28
47.06	2020-10-27
47.78	2020-10-26
48.485	2020-10-23
47.085	2020-10-22
46.9	2020-10-21
48.4	2020-10-20
47.5	2020-10-19
47.435	2020-10-16
46.73	2020-10-15
49.12	2020-10-14
49.455	2020-10-13
50.93	2020-10-12
50.52	2020-10-09
50.44	2020-10-08
49.68	2020-10-07
48.88	2020-10-06
46.745	2020-10-05
45.855	2020-10-02
45.78	2020-10-01
46.285	2020-09-30
46.32	2020-09-29
46.795	2020-09-28
45.065	2020-09-25
44.775	2020-09-24
45.615	2020-09-23
46.185	2020-09-22
46.075	2020-09-21
48.645	2020-09-18
48.965	2020-09-17
48.36	2020-09-16
47.915	2020-09-15
47.73	2020-09-14
47.675	2020-09-11
48.575	2020-09-10
47.585	2020-09-08
48.75	2020-09-07
49.165	2020-09-04
50.09	2020-09-03
49.96	2020-09-02
48.445	2020-09-01
48.765	2020-08-31
49.605	2020-08-28
50.18	2020-08-27
49.94	2020-08-26
48.84	2020-08-25
48.5	2020-08-24
47.07	2020-08-21
47.735	2020-08-20
48.91	2020-08-19
47.825	2020-08-18
47.34	2020-08-17
47.825	2020-08-14
47.945	2020-08-13
48.275	2020-08-12
47.995	2020-08-11
46.305	2020-08-10
45.67	2020-08-07
