2021-11-12	87.89	1906236
2021-11-11	87.36	2856079
2021-11-10	88.09	2569079
2021-11-09	87.42	1771670
2021-11-08	87.23	1463678
2021-11-05	87.59	2613344
2021-11-04	87	4333947
2021-11-03	87.03	2104363
2021-11-02	87.09	2397959
2021-11-01	86.98	2310725
2021-10-29	85.74	4375140
2021-10-28	83.85	1973605
2021-10-27	83.58	2377338
2021-10-26	83.1	2158418
2021-10-25	82.89	2961272
2021-10-22	82.11	1799034
2021-10-21	81.73	1947220
2021-10-20	81.95	2505983
2021-10-19	82.37	1799960
2021-10-18	81.95	2627698
2021-10-15	83.65	2680878
2021-10-14	83.22	3223210
2021-10-13	81.56	2722209
2021-10-12	82.31	2826257
2021-10-11	83	3899366
2021-10-08	80.68	4371059
2021-10-07	78.64	3757678
2021-10-06	75.57	3445633
2021-10-05	77.19	2155475
2021-10-04	77.01	2594745
2021-10-01	77.37	3630569
2021-09-30	76.72	2919920
2021-09-29	77.4	2244393
2021-09-28	76.23	5174189
2021-09-27	75.8	3431309
2021-09-24	74.28	2622214
2021-09-23	73.02	2703339
2021-09-22	71.93	2784575
2021-09-21	69.3	2601472
2021-09-20	69.15	4644107
2021-09-17	71.36	6563297
2021-09-16	72.13	2458052
2021-09-15	72.51	2625314
2021-09-14	72.52	3108146
2021-09-13	71.7	3462549
2021-09-10	69.14	2266264
2021-09-09	68.5	2637446
2021-09-08	68.71	3282009
2021-09-07	70.38	1773366
2021-09-06	70.09	1995083
2021-09-03	70.17	1715363
2021-09-02	70.62	1893350
2021-09-01	71.07	1624492
2021-08-31	71.42	2870896
2021-08-30	71.6	1376885
2021-08-27	71.21	1222370
2021-08-26	70.7	1530079
2021-08-25	71.12	1846335
2021-08-24	70.74	2031805
2021-08-23	69.87	2203480
2021-08-20	69.89	2254239
2021-08-19	69.62	3268840
2021-08-18	71.81	2447842
2021-08-17	72.76	2136646
2021-08-16	74.25	1814871
2021-08-13	75.64	1329631
2021-08-12	75.61	1932574
2021-08-11	74.88	1684486
2021-08-10	74.44	1303289
2021-08-09	74.58	1874421
2021-08-06	76.03	1671621
2021-08-05	75.41	1680167
2021-08-04	75.94	1838038
2021-08-03	75.75	1720917
2021-08-02	76.44	2269023
2021-07-30	75.28	2770730
2021-07-29	76.15	2650757
2021-07-28	74.06	1630296
2021-07-27	74.01	2366891
2021-07-26	75.45	2348512
2021-07-23	75.27	4680515
2021-07-22	71.38	2431737
2021-07-21	70.84	3891095
2021-07-20	70.07	2786919
2021-07-19	69.63	3383079
2021-07-16	71.72	2159369
2021-07-15	73.18	2509125
2021-07-14	73.5	1654743
2021-07-13	73.01	1180000
2021-07-12	73.26	2701598
2021-07-09	72.89	3270953
2021-07-08	70.73	3639721
2021-07-07	72.4	3735118
2021-07-06	72.91	3071780
2021-07-05	75.91	1405803
2021-07-02	76.23	1687141
2021-07-01	75.99	1828664
2021-06-30	75.3	2659233
2021-06-29	76.28	1710337
2021-06-28	75.96	2405175
