87.62	2020-12-29
86.1	2020-12-28
86.58	2020-12-23
85.7	2020-12-22
84.2	2020-12-21
86.84	2020-12-18
86.08	2020-12-17
84.76	2020-12-16
83.28	2020-12-15
80.06	2020-12-14
78.64	2020-12-11
78.68	2020-12-10
79.4	2020-12-09
78.3	2020-12-08
78.72	2020-12-07
78.94	2020-12-04
77.22	2020-12-03
76.96	2020-12-02
77.6	2020-12-01
74.56	2020-11-30
76.72	2020-11-27
76.42	2020-11-26
78	2020-11-25
79.24	2020-11-24
77.52	2020-11-23
76.5	2020-11-20
75.38	2020-11-19
74.36	2020-11-18
75.52	2020-11-17
75.8	2020-11-16
73.24	2020-11-13
74.8	2020-11-12
76.1	2020-11-11
78.56	2020-11-10
71.3	2020-11-09
67.28	2020-11-06
69.48	2020-11-05
68.76	2020-11-04
66.76	2020-11-03
64.12	2020-11-02
62.7	2020-10-30
61.92	2020-10-29
63.3	2020-10-28
65.62	2020-10-27
70	2020-10-26
72.5	2020-10-23
71.8	2020-10-22
73.1	2020-10-21
74.68	2020-10-20
73.92	2020-10-19
73.62	2020-10-16
72.68	2020-10-15
74.48	2020-10-14
75.42	2020-10-13
76.84	2020-10-12
78.66	2020-10-09
76.74	2020-10-08
76.06	2020-10-07
78.6	2020-10-06
78.86	2020-10-05
76.56	2020-10-02
77.24	2020-10-01
76.76	2020-09-30
76.54	2020-09-29
76.06	2020-09-28
72.5	2020-09-25
73.1	2020-09-24
75.08	2020-09-23
75.26	2020-09-22
75.12	2020-09-21
80.6	2020-09-18
81.66	2020-09-17
82.42	2020-09-16
81.9	2020-09-15
79.8	2020-09-14
78.34	2020-09-11
78.76	2020-09-10
78.14	2020-09-08
79.52	2020-09-07
78.34	2020-09-04
78.08	2020-09-03
78.44	2020-09-02
76.24	2020-09-01
77.54	2020-08-31
79.74	2020-08-28
79.5	2020-08-27
78.86	2020-08-26
79.04	2020-08-25
79.5	2020-08-24
76.66	2020-08-21
76.86	2020-08-20
78.36	2020-08-19
79.18	2020-08-18
79.12	2020-08-17
78.14	2020-08-14
78.5	2020-08-13
79.46	2020-08-12
80.06	2020-08-11
78.12	2020-08-10
80.86	2020-08-07
