ADS "ALLIANCE DATA SYSTEMS CORP"
BAYN "BAYER AG-REG"
DAI "DAIMLER AG-REGISTERED SHARES"
DBK "DEUTSCHE BANK AG-REGISTERED"
BAYN "BAYER AG-REG"
MSF "MICROSOFT CORP"
EOAN "E.ON SE"
ALV "ALLIANZ SE-REG"
BAS "BASF SE"
BMW "BAYERISCHE MOTOREN WERKE AG"
BEI "BEIERSDORF AG"
CBK "COMMERZBANK AG"
CON "CONTINENTAL AG"
DB1 "DEUTSCHE BOERSE AG"
LHA "DEUTSCHE LUFTHANSA-REG"
DPW "DEUTSCHE POST AG-REG"
DTE "DTE ENERGY COMPANY"
FME "FRESENIUS MEDICAL CARE AG &"
FRE "FRESENIUS SE & CO KGAA"
HEI "HEIDELBERGCEMENT AG"
HEN "HENKEL AG & CO KGAA"
IFX "IMAFLEX INC"
SDF "K+S AG-REG"
LIN "LINEDATA SERVICES"
MRK "MERCK & CO. INC."
MUV2 "MUENCHENER RUECKVER AG-REG"
TKA "THYSSENKRUPP AG"
VOW "VOLKSWAGEN AG"
APC "APC GROUP INC"
AMZ "AMAZON.COM INC"
ABEC "ANALYTICA BIO-ENERGY CORP"
ABEA "ALPHABET INC-CL A"
AHLA "ALIBABA GROUP HOLDING-SP ADR"
BRYN "BRYN RESOURCES INC"
BRH "BERKSHIRE HATHAWAY INC-CL A"
VODJ "VODAFONE GROUP PLC-SP ADR"
3V64 "VISA INC-CLASS A SHARES"
CMC "CORP EMPRESARIAL DE MATERIAL"
WMT "WALMART INC"
M4I "MASTERCARD INC - A"
NESM "NESTLE SA-SPONS ADR"
PRG "PATUM RICE MILL &GRANARY PCL"
SOBA "AT&T INC"
NCB "BANK OF AMERICA CORP"
HDI "HARLEY-DAVIDSON INC-CEDEAR"
INL "INVESTEC LTD"
CCC3 "COCA-COLA CO/THE"
BAC "BANK OF AMERICA CORP"
6MK "MERCK & CO. INC."
CTP2 "COMCAST CORP-CLASS A"
PFE "PFIZER INC"
PEP "PPB GROUP BERHAD"
CHV "CHEVRON CORP"
ADB "ADOBE INC"
CIS "CISCO SYSTEMS INC"
R6C3 "ROYAL DUTCH SHELL PLC-B SHS"
NVD "NVIDIA CORP"
NFC "NEXT FIFTEEN COMMUNICATIONS"
ORC "ORACLE CORP"
BCO "BICO LTD"
FOO "SALESFORCE.COM INC"
LOR "L'OREAL"
MDO "MANDARIN ORIENTAL -SING REG"
SAP "SAP SE-SPONSORED ADR"
NOVC "NOVATION COMPANIES INC"
NKE "NIKE INC -CL B"
ABL "ABILENE OIL AND GAS LTD"
TRVC "CITIGROUP INC"
CTO "TCLARKE PLC"
2M6 "MEDTRONIC PLC"
BRM "BERMAS SA"
TL0 "TESLA INC"
4I1 "PHILIP MORRIS INTERNATIONAL"
4AB "ABBVIE INC"
2PP "PAYPAL HOLDINGS INC"
LLY "ELI LILLY & CO"
HBC1 "HSBC HOLDINGS PLC"
AMG "AFFILIATED MANAGERS GROUP"
ZEG "ASTRAZENECA PLC"
SNW "SANOFI"
ASME "ASML HOLDING NV"
ALD "AMPOL LTD"
1TY "PROSUS NV"
IBM "INTL BUSINESS MACHINES CORP"
NOVA "NOVO-NORDISK A/S-SPONS ADR"
TOTB "TOTAL SE"
LOM "LOM FINANCIAL LTD"
1YD "BROADCOM INC"
ASMF "ASML HOLDING NV-NY REG SHS"
UNI2 "UNION POIS SPOLOE"
RWE "RWE AG"
SIE "SIEMENS AG-REG"
FB2A "FACEBOOK INC-CLASS A"
JNJ "JOHNSON & JOHNSON"
XONA "EXXON MOBIL CORP"
NWT "NEW WAVE HOLDINGS LTD"
R6C "ROYAL DUTCH SHELL PLC-A SHS"
MOH "LVMH MOET HENNESSY LOUIS VUI"
UNH "UNITEDHEALTH GROUP INC"
WDP "WAREHOUSES DE PAUW SCA"
