ADS "Adidas"
BAYN "BAYER AG-REG"
DAI "DAIMLER AG-REGISTERED SHARES"
DBK "DEUTSCHE BANK AG-REGISTERED"
MSF "MICROSOFT CORP"
EOAN "E.ON SE"
ALV "ALLIANZ SE-REG"
BAS "BASF SE"
BMW "BAYERISCHE MOTOREN WERKE AG"
BEI "BEIERSDORF AG"
CBK "COMMERZBANK AG"
CON "CONTINENTAL AG"
DB1 "DEUTSCHE BOERSE AG"
LHA "DEUTSCHE LUFTHANSA-REG"
DPW "DEUTSCHE POST AG-REG"
DTE "DTE ENERGY COMPANY"
FME "FRESENIUS MEDICAL CARE AG &"
FRE "FRESENIUS SE & CO KGAA"
HEI "HEIDELBERGCEMENT AG"
HEN "HENKEL AG & CO KGAA"
IFX "IMAFLEX INC"
SDF "K+S AG-REG"
LIN "LINEDATA SERVICES"
MRK "MERCK & CO. INC."
MUV2 "MUENCHENER RUECKVER AG-REG"
TKA "THYSSENKRUPP AG"
VOW "VOLKSWAGEN AG"
APC "APC GROUP INC"
AMZ "AMAZON.COM INC"
ABEC "ANALYTICA BIO-ENERGY CORP"
ABEA "ALPHABET INC-CL A"
AHLA "ALIBABA GROUP HOLDING-SP ADR"
BRYN "BRYN RESOURCES INC"
BRH "BERKSHIRE HATHAWAY INC-CL A"
VODJ "VODAFONE GROUP PLC-SP ADR"
3V64 "VISA INC-CLASS A SHARES"
CMC "CORP EMPRESARIAL DE MATERIAL"
WMT "WALMART INC"
M4I "MASTERCARD INC - A"
NESM "NESTLE SA-SPONS ADR"
PRG "PATUM RICE MILL &GRANARY PCL"
SOBA "AT&T INC"
NCB "BANK OF AMERICA CORP"
HDI "HARLEY-DAVIDSON INC-CEDEAR"
INL "Intel"
CCC3 "COCA-COLA CO/THE"
BAC "BANK OF AMERICA CORP"
6MK "MERCK & CO. INC."
CTP2 "COMCAST CORP-CLASS A"
PFE "PFIZER INC"
PEP "PPB GROUP BERHAD"
CHV "CHEVRON CORP"
ADB "ADOBE INC"
CIS "CISCO SYSTEMS INC"
R6C3 "ROYAL DUTCH SHELL PLC-B SHS"
NVD "NVIDIA CORP"
NFC "NEXT FIFTEEN COMMUNICATIONS"
ORC "ORACLE CORP"
BCO "BICO LTD"
FOO "SALESFORCE.COM INC"
LOR "L'OREAL"
MDO "MANDARIN ORIENTAL -SING REG"
SAP "SAP SE-SPONSORED ADR"
NOVC "NOVATION COMPANIES INC"
NKE "NIKE INC -CL B"
ABL "ABILENE OIL AND GAS LTD"
TRVC "CITIGROUP INC"
CTO "TCLARKE PLC"
2M6 "MEDTRONIC PLC"
BRM "BERMAS SA"
TL0 "TESLA INC"
4I1 "PHILIP MORRIS INTERNATIONAL"
4AB "ABBVIE INC"
2PP "PAYPAL HOLDINGS INC"
LLY "ELI LILLY & CO"
HBC1 "HSBC HOLDINGS PLC"
AMG "AFFILIATED MANAGERS GROUP"
ZEG "ASTRAZENECA PLC"
SNW "SANOFI"
ASME "ASML HOLDING NV"
ALD "AMPOL LTD"
1TY "PROSUS NV"
IBM "INTL BUSINESS MACHINES CORP"
NOVA "NOVO-NORDISK A/S-SPONS ADR"
TOTB "TOTAL SE"
LOM "LOM FINANCIAL LTD"
1YD "BROADCOM INC"
ASMF "ASML HOLDING NV-NY REG SHS"
UNI2 "UNION POIS SPOLOE"
RWE "RWE AG"
SIE "SIEMENS AG-REG"
FB2A "FACEBOOK INC-CLASS A"
JNJ "JOHNSON & JOHNSON"
XONA "EXXON MOBIL CORP"
NWT "NEW WAVE HOLDINGS LTD"
R6C "ROYAL DUTCH SHELL PLC-A SHS"
MOH "LVMH MOET HENNESSY LOUIS VUI"
UNH "UNITEDHEALTH GROUP INC"
WDP "WAREHOUSES DE PAUW SCA"
UNP "UNION PACIFIC CORP"
1NBA "ANHEUSER-BUSCH INBEV SA/NV"
TII "TEXAS INSTRUMENTS INC"
BPE "BPER BANCA"
CQD "CHARTER COMMUNICATIONS INC-A"
BPE5 "BP PLC"
DAP "DANAHER CORP"
GS7 "GLAXOSMITHKLINE PLC"
IXD1 "INDUSTRIA DE DISENO TEXTIL"
BIL "BHP GROUP PLC"
AIR "AAR CORP"
GIS "GENERAL MILLS INC"
GEC "GEOCOMPLEX A.S."
BMT "BRAIME (TF & JH)-A NON VOTG"
SRB "SAPURA RESOURCES BHD"
QCI "QUALCOMM INC"
AEC1 "AMERICAN EXPRESS CO"
ENL "ENEL SPA"
MMM "MINCO CAPITAL CORP"
CVS "CVS HEALTH CORP"
GUI "DIAGEO PLC"
KTF "DWS MUNICIPAL INCOME TRUST"
UPAB "UNITED PARCEL SERVICE-CL B"
UNVB "UNIVERZAL AD BECEJ"
RIO1 "RIO TINTO PLC"
PHM7 "ALTRIA GROUP INC"
DTEA "DEUTSCHE TELEKOM AG-SPON ADR"
IBE1 "IBERDROLA SA"
1COV "COVESTRO AG"
VNA "Vonovia"
MTX "MTU Aero Engines"
DWNI "DEUTSCHE WOHNEN SE"
DHER "DELIVERY HERO SE"
1N8 "ADYEN NV"
AIL "AIR LIQUIDE SA"
AXA "AXA SA"
BSD2 "BANCO SANTANDER SA"
BNP "BNP PARIBAS"
BSN "DANONE"
GZF "ENGIE"
ENI "ENI SPA"
INN1 "ING GROEP NV"
IES "INTESA SANPAOLO"PPX "KERING"
KC4 "KONE OYJ-B"
AHOG "KONINKLIJKE AHOLD DELHAIZE N"
PHI1 "KONINKLIJKE PHILIPS NV"
NOA3 "NOKIA OYJ"
PER "PERNOD RICARD SA"
SND "SCHNEIDER ELECTRIC SE"
SQU "VINCI SA"
VVU "VIVENDI"
VOW3 "VOLKSWAGEN AG-PREF"
DKB "DAI-ICHI KANGYO BANK"
UNIN "UNITED INSURANCE"
CGN "COGNITION HOLDINGS LTD"
BLQA "BLACKROCK INC"
SBNC "SOUTHERN BANCSHARES INC/N C"
FIV "FISERV INC"
HMI "HERMES INTERNATIONAL"
ITU "INTUIT INC"
SYK "STRYKER CORP"
GOS "GOLDMAN SACHS GROUP INC"
SOT "SOUTHERN CO/THE"
GAZ "AFRIQUIA GAZ"
PCE1 "BOOKING HOLDINGS INC"
UB5 "US BANCORP"
CAT1 "CATERPILLAR INC"
BAYA "BAYER AG-SPONSORED ADR"
DWD "MORGAN STANLEY"
ZOE "ZOETIS INC"
CPA "CIA PORTUGUESA DE AMIDOS"
VX1 "VERTEX PHARMACEUTICALS INC"
MTE "MONTANARO EUROPEAN SMALLER C"
UT8 "Generic 8th 'UT' Future"
HNK1 "HEINEKEN NV"
AMD "ADVANCED MICRO DEVICES"
NTH "NORTHROP GRUMMAN CORP"
IDP "BIOGEN INC"
LUK "LUKOIL PJSC-SPON ADR"
RTN1 "RUBBER FUT (SHFE) Jul21"
BASA "BASANITE INC"
MSN "EMERSON RADIO CORP"
AP2 "APPLIED MATERIALS INC"
3RB "RECKITT BENCKISER GROUP PLC"
IC2 "Generic 2nd 'IC' Future"
DYH "TARGET CORP"
YCP "CONOCOPHILLIPS"
BZF1 "VMWARE INC-CLASS A"
DCO "DUCOMMUN INC"
UWS "WASTE MANAGEMENT INC"
KMY "KIMBERLY-CLARK CORP"
NSU "AUDI AG"
AEP "AMERICAN ELECTRIC POWER"
GDX "GOLDEX RESOURCES CORP"
AIY "AUTHORISED INVESTMENT FUND L"
VODI "VODAFONE GROUP PLC"
RDEB "RELX PLC"
NFS "NORFOLK SOUTHERN CORP"
NNGF "NATIONAL GRID PLC"
BTL "BAYANTALBAI JSC"
E2F "EDF"
2KD "KINDER MORGAN INC"
PEO "PEOPLE CORP"
8GM "GENERAL MOTORS CO"
LAR "LAM RESEARCH CORP"
LCR "LAS VEGAS SANDS CORP"
LLD "LLOYDS BANKING GROUP PLC"
W8A "WALGREENS BOOTS ALLIANCE INC"
PRU "PRUDENTIAL PLC"
SHL "SIN HENG CHAN (MALAYA) BHD"
AUD "AUTODESK INC"
ILU "ILUKA RESOURCES LTD"
ANL "AZGARD NINE LTD"
NMM "NEWMONT CORP"
2S7 "Generic 7th '2S' Future"
RSO "ROSS STORES INC"
PHIA "KONINKLIJKE PHILIPS NVR- NY"
FTE1 "ORANGE-SPON ADR"
AINN "AMERICAN INTERNATIONAL GROUP"
FTE "ORANGE"
DPWA "DEUTSCHE POST AG-SPON ADR"
ABR "ABR HOLDINGS LTD"
ALS "ALLSTATE CORP"
INNA "ING GROEP N.V.-SPONSORED ADR"
FDX "FEDEX CORP"
COZ "COGNIZANT TECH SOLUTIONS-A"
VNX "VIETNAM NATIONAL TRADE FAIR"
XGR2 "COMPASS GROUP PLC"
PA9 "TRAVELERS COS INC/THE"
R66 "Generic 6th 'R6' Future"
GRM "GENERAL MILLS INC"
EOAA "E.ON SE -SPONSORED ADR"
MLB1 "MERCADOLIBRE INC"
BBVA "BANCO BILBAO VIZCAYA-SP ADR"
